"theta"	"prop_random"	"iteration"	"mu"	"tau"	"I2"	"mu_2"	"tau_2"	"I2_2"
7.3	0	4	-2.22803546445771e-17	0	0	0	0	0
7.3	0	5	-2.14129929065887e-17	0	0	0	0	0
7.3	0	6	2.19008838842072e-17	0	0	0	0	0
7.3	0	7	4.22838847269347e-17	0	0	0	0	0
7.3	0	8	-5.42101086242752e-19	0	0	0	0	0
7.3	0	9	-1.55040910665427e-17	0	0	0	0	0
7.3	0	10	-4.57533316788883e-17	0	0	0	0	0
7.3	0	11	-5.42101086242752e-17	0	0	0	0	0
7.3	0	12	1.79977560632594e-17	0	0	0	0	0
7.3	0	13	-4.91143584135934e-17	0	0	0	0	0
7.3	0	14	-3.12250225675825e-17	0	0	0	0	0
7.3	0	15	-8.94466792300541e-18	0	0	0	0	0
7.3	0	16	-6.11490025281825e-17	0	0	0	0	0
7.3	0	17	2.64545330086463e-17	0	0	0	0	0
7.3	0	18	-9.1981001808239e-17	0	0	0	0	0
7.3	0	19	-7.91467585914418e-17	0	0	0	0	0
7.3	0	20	-3.49113099540332e-17	0	0	0	0	0
7.3	0	21	-2.54245409447851e-17	0	0	0	0	0
7.3	0	22	5.98479599211998e-17	0	0	0	0	0
7.3	0	23	6.23416249179165e-18	0	0	0	0	0
7.3	0	24	3.42607886505419e-17	0	0	0	0	0
7.3	0	25	-7.15573433840433e-18	0	0	0	0	0
7.3	0	26	-4.41812385287843e-18	0	0	0	0	0
7.3	0	27	1.01915004213637e-17	0	0	0	0	0
7.3	0	28	2.87042525165537e-17	0	0	0	0	0
7.3	0	29	-3.74049749507499e-18	0	0	0	0	0
7.3	0	30	-3.8597597340484e-17	0	0	0	0	0
7.3	0	31	6.50521303491303e-18	0	0	0	0	0
7.3	0	32	-2.84060969191202e-17	0	0	0	0	0
7.3	0	33	6.28837260041593e-17	0	0	0	0	0
7.3	0	34	1.21430643318376e-17	0	0	0	0	0
7.3	0	35	6.72205346941013e-18	0	0	0	0	0
7.3	0	36	-1.43114686768087e-17	0	0	0	0	0
7.3	0	37	-3.90312782094782e-18	0	0	0	0	0
7.3	0	38	1.2793585635329e-17	0	0	0	0	0
7.3	0	39	-2.68882138776405e-17	0	0	0	0	0
7.3	0	40	-1.73472347597681e-18	0	0	0	0	0
7.3	0	41	4.33680868994202e-19	0	0	0	0	0
7.3	0	42	8.67361737988404e-18	0	0	0	0	0
7.3	0	43	-1.16009632455949e-17	0	0	0	0	0
7.3	0	44	-2.71050543121376e-17	0	0	0	0	0
7.3	0	45	-9.97465998686664e-18	0	0	0	0	0
7.3	0	46	-1.84314369322536e-17	0	0	0	0	0
7.3	0	47	1.97324795392362e-17	0	0	0	0	0
7.3	0	48	1.32272665043232e-17	0	0	0	0	0
7.3	0	49	-2.09251019289702e-17	0	0	0	0	0
7.3	0	50	1.13841228110978e-17	0	0	0	0	0
7.3	0	51	6.72205346941013e-18	0	0	0	0	0
7.3	0	52	-3.18213337624496e-17	0	0	0	0	0
7.3	0	53	8.23993651088983e-18	0	0	0	0	0
7.3	0	54	-1.12757025938492e-17	0	0	0	0	0
7.3	0	55	1.26851654180804e-17	0	0	0	0	0
7.3	0	56	5.160802341031e-17	0	0	0	0	0
7.3	0	57	-3.46944695195361e-18	0	0	0	0	0
7.3	0	58	2.05998412772246e-17	0	0	0	0	0
7.3	0	59	2.16840434497101e-19	0	0	0	0	0
7.3	0	60	-3.84891771232354e-18	0	0	0	0	0
7.3	0	61	-5.03069808033274e-17	0	0	0	0	0
7.3	0	62	2.77555756156289e-17	0	0	0	0	0
